0.0025 	0.099 	0.005 	0.299604 	0.146091 	0
0.0075 	0.099 	0.005 	0.396272 	0.127503 	0
0.0125 	0.099 	0.005 	0.55742 	0.0760895 	0
0.0175 	0.099 	0.005 	0.674487 	0.0437232 	0
0.0225 	0.099 	0.005 	0.743888 	0.025572 	0
0.0275 	0.099 	0.005 	0.787152 	0.0152421 	0
0.0325 	0.099 	0.005 	0.815484 	0.00921222 	0
0.0375 	0.099 	0.005 	0.833954 	0.00550932 	0
0.0425 	0.099 	0.005 	0.845383 	0.00302713 	0
0.0475 	0.099 	0.005 	0.851369 	0.00114933 	0
0.0525 	0.099 	0.005 	0.852664 	-0.000499356 	0
0.0575 	0.099 	0.005 	0.84938 	-0.002215 	0
0.0625 	0.099 	0.005 	0.840998 	-0.00433847 	0
0.0675 	0.099 	0.005 	0.826139 	-0.00742398 	0
0.0725 	0.099 	0.005 	0.802077 	-0.0125321 	0
0.0775 	0.099 	0.005 	0.76362 	-0.0217727 	0
0.0825 	0.099 	0.005 	0.699108 	-0.0392828 	0
0.0875 	0.099 	0.005 	0.583952 	-0.0726601 	0
0.0925 	0.099 	0.005 	0.415827 	-0.127868 	0
0.0975 	0.099 	0.005 	0.308819 	-0.149468 	0
