0.0025 	0.099 	0.005 	-4.36666
0.0075 	0.099 	0.005 	-2.04463
0.0125 	0.099 	0.005 	-0.973538
0.0175 	0.099 	0.005 	-0.563177
0.0225 	0.099 	0.005 	-0.357843
0.0275 	0.099 	0.005 	-0.240144
0.0325 	0.099 	0.005 	-0.170116
0.0375 	0.099 	0.005 	-0.123779
0.0425 	0.099 	0.005 	-0.087477
0.0475 	0.099 	0.005 	-0.0535054
0.0525 	0.099 	0.005 	-0.0166492
0.0575 	0.099 	0.005 	0.0276662
0.0625 	0.099 	0.005 	0.0846132
0.0675 	0.099 	0.005 	0.161735
0.0725 	0.099 	0.005 	0.272417
0.0775 	0.099 	0.005 	0.442104
0.0825 	0.099 	0.005 	0.718224
0.0875 	0.099 	0.005 	1.22571
0.0925 	0.099 	0.005 	2.41104
0.0975 	0.099 	0.005 	4.84854
